Country;CTL_DS;CTL_DG;CTL_C;;;;;
Albania;22,6;52,9;37,2;;;;;
Algeria;16,7;33;19,2;;;;;
Argentina;74,5;88,4;75;;;;;
Austria;88,8;68,3;75,8;;;;;
Bangladesh *;0;3,5;6,6;;;;;
Belarus;62,3;82,1;60,5;;;;;
Belgium**;70,1;126,7;119,8;;;;;
Bosnia and Hercegovnina;36,1;64,6;51,9;;;;;
Bulgaria;54,3;80,8;60,4;;;;;
Canada;75,7;89,3;84,6;;;;;
Chile;66,1;112;86,8;;;;;
Croatia;57,1;61,7;55;;;;;
CzechR.;73,3;58,4;59,6;;;;;
Denmark;90,6;40,5;65,5;;;;;
Egypt*;4,8;0;3,9;;;;;
Estonia;55,6;55,4;55,4;;;;;
Finland;67,7;72,3;74,5;;;;;
France**;66,8;101,3;99,6;;;;;
Germany;75,6;74,5;82,9;;;;;
Great Britain;64,3;87,4;89,3;;;;;
Greece;60,9;80,8;58,3;;;;;
Hungary;37,3;61,1;42,8;;;;;
Iceland;51,1;35,7;51,2;;;;;
India;111,8;110,6;43,7;;;;;
Indonesia*;2,5;4,2;3,1;;;;;
Iran;17,8;26,9;31,5;;;;;
Ireland;52,7;76,8;71,2;;;;;
Italy;62,4;84,6;67,8;;;;;
Japan;56,8;39,2;43,3;;;;;
Jordan*;4,2;3,4;5,1;;;;;
Kyrgyzstan;34,3;77,6;52,6;;;;;
Latvia;47,4;54;42,7;;;;;
Lithuania;40,3;54,6;54,4;;;;;
Luxemburg;81,3;111,2;113,9;;;;;
Macedonia;43,1;85,9;64,3;;;;;
Malta;15;34,2;28,1;;;;;
Mexico;74,7;111,5;74,7;;;;;
Moldova;53,6;57,4;41,9;;;;;
Morocco*;17,6;2,8;0;;;;;
Netherlands ;62,5;61,7;78,9;;;;;
Nigeria;14,1;30,7;17,9;;;;;
Peru;35,2;66,8;52,3;;;;;
Philippines;49,6;46,6;31,5;;;;;
Poland;66,6;56,3;42,8;;;;;
Portugal;51,6;78,6;87,4;;;;;
Puerto Rico;46,5;68,2;63,1;;;;;
Romania;47,5;59;42,4;;;;;
Russian Federation;45,8;70,4;57,2;;;;;
Saudi Arabia;15,1;;22,4;;;;;
Serbia;43,4;73,8;61,8;;;;;
Singapore;35;;55,2;;;;;
Slovakia;78,4;76,4;59;;;;;
Slovenia;109,6;78,5;55,1;;;;;
South Africa;52,2;110,6;67,6;;;;;
South Korea;48;28,8;20,1;;;;;
Spain;80,9;96,4;83,9;;;;;
Sweden**;63,5;47,3;87,9;;;;;
Tanzania;11,7;31,7;31,6;;;;;
Turkey;28,3;29,1;12,5;;;;;
Uganda;16;43,4;34,7;;;;;
Ukraine;52,6;81,3;56,9;;;;;
USA;67,9;71,5;58;;;;;

VietNam;21,8;41,2;35,9;;;;;
Zimbabwe;4,3;41,5;30,4;;;;;
